Fundo,CNPJ,Data,Classe/Série,Evento,Volume,Remuneração,Amortização/Vencimento,Fonte
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.102.603/0001-44,,1ª Série,evento de cota,"R$ 950.000.000,00","gina na internet ou publicação que venha a substituí -lo, expressa na forma percentual e calculada diariamente sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, a crescida de 1,37% (um inteiro e trinta e sete centésimos por cento) ao ano; (ix) Datas de Pagamento de Remuneração (durante o Período de Carência): 27 (vinte e sete) de cada mês; (x) Período de Carênci…","Secretária de Mesa. ORDEM DO DIA : (i) aprovar alteração nas características das Cotas Seniores da 1ª Série, conforme suplemento aprovado por meio do “ Instrumento Particular da Administradora do CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ” datado em 23 de agosto de 2021, de modo a alterar a amortização, resgate, benchmark e período de carência das Cotas Seniores da 1ª Série, os quais passar…",512614_assembleia_assembleia_512614_2023-08-23.pdf
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.102.603/0001-44,,,evento de cota,,ra ........................................................ 4 5. Condições de Cessão e Critérios de Elegibilidade ........................................................... 6 6. Fatores de Risco ....................................................................................................... 9 7. Administradora e Remuneração dos Prestadores de Serviço do Fundo ........................... 24 8. Contratação de…,"sição do Patrimônio do Fundo e das Emissões de Cotas ...................................... 36 15. Características, Direitos, Condições de Emissão, Subscrição e Integralização das Cotas ... 38 16. Assembleia Geral .................................................................................................... 41 17. Amortização e Resgate das Cotas .................................................................…",512616_regulamento_regulamento_512616_2023-08-23.pdf
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.102.603/0001-44,,,evento de cota,,ra ........................................................ 4 5. Condições de Cessão e Critérios de Elegibilidade ........................................................... 6 6. Fatores de Risco ....................................................................................................... 9 7. Administradora e Remuneração dos Prestadores de Serviço do Fundo ........................... 24 8. Contratação de…,"sição do Patrimônio do Fundo e das Emissões de Cotas ...................................... 36 15. Características, Direitos, Condições de Emissão, Subscrição e Integralização das Cotas ... 38 16. Assembleia Geral .................................................................................................... 41 17. Amortização e Resgate das Cotas .................................................................…",513579_regulamento_regulamento_513579_2023-08-28.pdf
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.102.603/0001-44,,,evento de cota,,39 7. NEGOCIAÇÃO DAS COTAS ....................................................................................... 43 8. DO PATRIMÔNIO LÍQUIDO NEGATIVO E REGIME DE INSOLVÊNCIA ................................ 44 9. DOS PRESTADORES DE SERVIÇO DA CLASSE A .......................................................... 46 10. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇO ....................................................... 50 1…,".............. 31 4. COMPOSIÇÃO DO PATRIMÔNIO DA CLASSE A E DAS EMISSÕES DE COTAS .................... 34 5. CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ...................................................................................................................... 35 6. AMORTIZAÇÃO, AMORTIZAÇÃO EXTRAORDINÁRIA E RESGATE DAS COTAS ................... 39 7. NEGOCIAÇÃO D…",733239_regulamento_regulamento_733239_2024-09-05.pdf
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.102.603/0001-44,,classe sênior,emissão,"R$ 1.000,00","utros eventos, por qualquer depreciação ou perda de valor dos ativos integrantes da carteira da Classe A, pela inexistência de um mercado secundário para os Direitos Creditórios Adquiridos e Ativos Financeiros integrantes da carteira da Classe A ou por eventuais prejuízos incorridos pelos Cotistas quando do pagamento de Remuneração, amortização ou resgate de suas Cotas. a. Risco de mercado Flutuação dos Ativos Finan…","ário da cota) Cotas integralizadas Lucros / Prejuízos Acumulados Total do Patrimônio Líquido Patrimônio líquido em 31 de dezembro de 2023 1.022.759 7.705 1.030.464 950.000,00 cotas seniores emitidas a R$ 1.000,9831 951.510 (576) 950.934 72.398,29 cotas subordinadas júnior emitidas a R$ 1.098,5081 71.249 8.281 79.530 Amortização de cotas seniores - (977.383) (977.383) Amortização de cotas subordinadas júnior - (77.50…",828702_emissao_emissao_828702_2024-10-31.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,,evento de cota,,"osição de sua carteira de investimentos, classifica-se como “Multimercado”. REGULAMENTO DO WIZARDS BG - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO 2 Artigo 11 O objetivo de investimento do FUNDO é proporcionar aos seus cotistas a valorização de suas cotas, buscando, em longo prazo, rentabilidade acima da taxa de Certificados de Depósito Interbancário - CDI, por meio de aplicações em cotas…","LTIMERCADO 7 I. as demonstrações contábeis apresentadas pelo ADMINISTRADOR; II. a substituição do ADMINISTRADOR, do GESTOR ou do CUSTODIANTE do Fundo; III. a fusão, a incorporação, a cisão ou a liquidação do FUNDO; IV. o aumento da taxa de administração; V. a alteração da política de investimento do FUNDO; VI. a amortização de cotas; e VII. a alteração do Regulamento, ressalvado o disposto no artigo 47 da Instrução…",257880_regulamento_regulamento_257880_2021-10-28.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,,evento de cota,,"teira de investimentos, classifica-se como “Fundo de Investimento em Direitos Creditórios”. REGULAMENTO DO CLOUDWALK AKIRA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 2 Artigo 11 O objetivo de investimento do FUNDO é proporcionar aos seus cotistas a valorização de suas cotas, buscando, em longo prazo, rentabilidade acima da taxa de Certificados de Depósito Interbancário - CDI, por meio de aplicações em direitos…","eliberar sobre: I. as demonstrações contábeis apresentadas pelo ADMINISTRADOR; II. a substituição do ADMINISTRADOR, do GESTOR ou do CUSTODIANTE do Fundo; III. a fusão, a incorporação, a cisão ou a liquidação do FUNDO; IV. o aumento da taxa de administração; V. a alteração da política de investimento do FUNDO; VI. a amortização de cotas; e VII. a alteração do Regulamento, ressalvado o disposto no artigo 47 da Instruç…",257883_regulamento_regulamento_257883_2022-01-12.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,,evento de cota,,ra ........................................................ 4 5. Condições de Cessão e Critérios de Elegibilidade ........................................................... 6 6. Fatores de Risco ....................................................................................................... 9 7. Administradora e Remuneração dos Prestadores de Serviço do Fundo ........................... 23 8. Contratação de…,"sição do Patrimônio do Fundo e das Emissões de Cotas ...................................... 36 15. Características, Direitos, Condições de Emissão, Subscrição e Integralização das Cotas ... 37 16. Assembleia Geral .................................................................................................... 41 17. Amortização e Resgate das Cotas .................................................................…",259052_regulamento_regulamento_259052_2022-01-21.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,1ª série,evento de cota,"R$1.500.000.000,00","a na internet ou publicação que venha a substituí-lo, expressa na forma percentual e calculada diariamente sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis , a crescida de 1, 34% (um inteiro e trinta e quatro centésimos por cento) ao ano; (ix) Datas de Pagamento de Remuneração (durante o Período de Carência): 27 (vinte e sete) de cada mês; (x) Período de Carênci…","os e cinquenta e dois) Dias Úteis , a crescida de 1, 34% (um inteiro e trinta e quatro centésimos por cento) ao ano; (ix) Datas de Pagamento de Remuneração (durante o Período de Carência): 27 (vinte e sete) de cada mês; (x) Período de Carência: desde a Data de Emissão até 27 de julho de 2024 (inclusive); (xi) Datas de Amortização Programada (cronograma de Amortizações Programadas): 27/08/2024 27/09/2024 27/10/2024 2…",479404_regulamento_regulamento_479404_2022-01-21.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,1ª Série,evento de cota,"R$1.500.000.000,00","na na internet ou publicação que venha a substituí-lo, expressa na forma percentual e calculada diariamente sob forma de capi talização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis , a crescida de 1,35% (um inteiro e trinta e cinco centésimos por cento) ao ano; (ix) Datas de Pagamento de Remuneração (durante o Período de Carência): 27 (vinte e sete) de cada mês; (x) Período de Carênci…","e Secretária de Mesa. ORDEM DO DIA : (i) aprovar alteração nas características das Cotas Seniores da 1ª Série, conforme suplemento aprovado por meio do “ Instrumento Particular da Administradora do CLOUDWALK AKIRA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ” datado em 21 de janeiro de 2022, de modo a alterar a amortização, resgate, benchmark e período de carência das Cotas Seniores da 1ª Série, os quais passar…",512611_assembleia_assembleia_512611_2023-08-23.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,,evento de cota,,ra ........................................................ 4 5. Condições de Cessão e Critérios de Elegibilidade ........................................................... 6 6. Fatores de Risco ....................................................................................................... 9 7. Administradora e Remuneração dos Prestadores de Serviço do Fundo ........................... 24 8. Contratação de…,"sição do Patrimônio do Fundo e das Emissões de Cotas ...................................... 36 15. Características, Direitos, Condições de Emissão, Subscrição e Integralização das Cotas ... 37 16. Assembleia Geral .................................................................................................... 41 17. Amortização e Resgate das Cotas .................................................................…",512613_regulamento_regulamento_512613_2023-08-23.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,,evento de cota,,ra ........................................................ 4 5. Condições de Cessão e Critérios de Elegibilidade ........................................................... 6 6. Fatores de Risco ....................................................................................................... 9 7. Administradora e Remuneração dos Prestadores de Serviço do Fundo ........................... 24 8. Contratação de…,"sição do Patrimônio do Fundo e das Emissões de Cotas ...................................... 36 15. Características, Direitos, Condições de Emissão, Subscrição e Integralização das Cotas ... 38 16. Assembleia Geral .................................................................................................... 41 17. Amortização e Resgate das Cotas .................................................................…",513520_regulamento_regulamento_513520_2023-08-28.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,1ª Série,evento de cota,"R$1.500.000.000,00","ina na internet ou publicação que venha a substituí-lo, expressa na forma percentual e calculada diariamente sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis , a crescida de 1,35% (um inteiro e trinta e cinco centésimos por cento) ao ano; (ix) Datas de Pagamento de Remuneração (durante o Período de Carência): 27 (vinte e sete) de cada mês; (x) Período de Carênci…","nte e Secretária de Mesa. ORDEM DO DIA : aprovar (i) alteração nas características das Cotas Seniores da 1ª Série, conforme apêndice aprovado por meio do “ Instrumento Particular da Administradora do CLOUDWALK AKIRA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ” datado em 23 de agosto de 2023, de modo a alterar a amortização, o resgate e o período de carência das Cotas Seniores da 1ª Série , os quais passarão a…",724048_assembleia_assembleia_724048_2024-08-19.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,,evento de cota,,40 7. NEGOCIAÇÃO DAS COTAS ....................................................................................... 45 8. DO PATRIMÔNIO LÍQUIDO NEGATIVO E REGIME DE INSOLVÊNCIA ................................ 45 9. DOS PRESTADORES DE SERVIÇO DA CLASSE A .......................................................... 47 10. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇO ....................................................... 51 1…,".............. 32 4. COMPOSIÇÃO DO PATRIMÔNIO DA CLASSE A E DAS EMISSÕES DE COTAS .................... 35 5. CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ...................................................................................................................... 36 6. AMORTIZAÇÃO, AMORTIZAÇÃO EXTRAORDINÁRIA E RESGATE DAS COTAS ................... 40 7. NEGOCIAÇÃO D…",724051_regulamento_regulamento_724051_2024-08-19.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,1ª Série,evento de cota,"R$1.500.000.000,00","a na internet ou publicação que venha a substituí -lo, expressa na forma percentual e calculada diariamente sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Ú teis, a crescida de 1,35% (um inteiro e trinta e cinco centésimos por cento) ao ano; (ix) Datas de Pagamento de Remuneração (durante o Período de Carência): 27 (vinte e sete) de cada mês; (x) Período de Carência…","ama de Amortizações Programadas das Cotas Sêniores (“Cronograma de Amortizações Programadas”) que as amortizações ocorreriam de acordo com o valores indicados na coluna “Quantidade de Cotas Sêniores a serem amortizadas”, quando na realidade as cotas serão amortizadas obedecendo o percentual descrito abaixo: Datas de Amortização Programada Quantidade de Cotas Sêniores a serem amortizadas 27/2/2025 16% 27/3/2025 16% 2…",729361_assembleia_assembleia_729361_2024-08-29.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,1ª Série,evento de cota,"R$1.500.000.000,00","os representantes do Administrador. ORDEM DO DIA: (i) alterar o termo definido ""Reserva de Caixa"" do Regulamento, conforme abaixo: De: “Reserva de Caixa” - Significa a parcela do Patrimônio Líquido do Fundo equivalente ao valor projetado pela Administradora, para a distribuição aos Cotistas Seniores (seja de Remuneração ou de amortização de principal), a ser acumulada com: (i) no mínimo 30 (trinta) dias de an tecedê…","do Administrador. ORDEM DO DIA: (i) alterar o termo definido ""Reserva de Caixa"" do Regulamento, conforme abaixo: De: “Reserva de Caixa” - Significa a parcela do Patrimônio Líquido do Fundo equivalente ao valor projetado pela Administradora, para a distribuição aos Cotistas Seniores (seja de Remuneração ou de amortização de principal), a ser acumulada com: (i) no mínimo 30 (trinta) dias de an tecedência em relação à…",851797_assembleia_assembleia_851797_2025-02-28.pdf
CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,44.124.617/0001-94,,,evento de cota,,40 7. NEGOCIAÇÃO DAS COTAS ....................................................................................... 45 8. DO PATRIMÔNIO LÍQUIDO NEGATIVO E REGIME DE INSOLVÊNCIA ................................ 45 9. DOS PRESTADORES DE SERVIÇO DA CLASSE A .......................................................... 47 10. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇO ....................................................... 51 1…,".............. 32 4. COMPOSIÇÃO DO PATRIMÔNIO DA CLASSE A E DAS EMISSÕES DE COTAS .................... 35 5. CARACTERÍSTICAS, DIREITOS, CONDIÇÕES DE EMISSÃO, SUBSCRIÇÃO E INTEGRALIZAÇÃO DAS COTAS ...................................................................................................................... 36 6. AMORTIZAÇÃO, AMORTIZAÇÃO EXTRAORDINÁRIA E RESGATE DAS COTAS ................... 40 7. NEGOCIAÇÃO D…",851798_regulamento_regulamento_851798_2025-02-28.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,,evento de cota,,"posição de sua carteira de investimentos, classifica-se como “Multimercado”. REGULAMENTO DO SEDONA BG - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO 2 Artigo 11 O objetivo de investimento do FUNDO é proporcionar aos seus cotistas a valorização de suas cotas, buscando, em longo prazo, rentabilidade acima da taxa de Certificados de Depósito Interbancário - CDI, por meio de aplicações em cotas…","LTIMERCADO 7 I. as demonstrações contábeis apresentadas pelo ADMINISTRADOR; II. a substituição do ADMINISTRADOR, do GESTOR ou do CUSTODIANTE do Fundo; III. a fusão, a incorporação, a cisão ou a liquidação do FUNDO; IV. o aumento da taxa de administração; V. a alteração da política de investimento do FUNDO; VI. a amortização de cotas; e VII. a alteração do Regulamento, ressalvado o disposto no artigo 47 da Instrução…",298052_regulamento_regulamento_298052_2022-03-07.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,,evento de cota,,"creditórios do tipo “Agro, Indústria e Comércio”, com foco de atuação em “Recebíveis Comerciais”. REGULAMENTO DO SUMUP SOLO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 2 Artigo 11 O objetivo de investimento do FUNDO é proporcionar aos seus cotistas a valorização de suas cotas, buscando, em longo prazo, rentabilidade acima da taxa de Certificados de Depósito Interbancário - CDI, por meio de aplicações em cotas de…","eliberar sobre: I. as demonstrações contábeis apresentadas pelo ADMINISTRADOR; II. a substituição do ADMINISTRADOR, do GESTOR ou do CUSTODIANTE do Fundo; III. a fusão, a incorporação, a cisão ou a liquidação do FUNDO; IV. o aumento da taxa de administração; V. a alteração da política de investimento do FUNDO; VI. a amortização de cotas; e VII. a alteração do Regulamento, ressalvado o disposto no artigo 47 da Instruç…",298055_regulamento_regulamento_298055_2022-04-28.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,1ª série,evento de cota,"R$200.000.000,00","os do parágrafo 2º do artigo 8º e do artigo 8º -A, todos da referida Instrução CVM nº 476/09. Data de Resgate: Data de Pagamento correspondente ao 36º (trigésimo sexto) mês a contar da 1ª Data de Integralização. Corporativo | Interno Sobretaxa Sênior: 1,05% (um inteiro e cinco centésimos por cento). Meta de Remuneração: as Cotas Seniores serão valoradas diariamente, a partir do Dia Útil seguinte à 1ª Data de Integra…","Data de Integralização até a Data de Resgate, nos termos do Capítulo 14 do Regulamento. A Meta de Remuneração será determinada por meio da apropriação diária, sob a forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis, da Taxa DI, acrescida de Sobretaxa Sênior. Meta de Amortização de Principal: com relação a cada Data de Pagamento, (a) durante o Período de Carência: R$0…",298624_regulamento_regulamento_298624_2022-05-05.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,,evento de cota,,"........................................... 4 4. Administradora .............................................................................................................................................. 4 5. Obrigações, vedações e responsabilidades da Administradora ............................................. 4 6. Remuneração da Administradora e demais taxas do Fundo ...........................................…","................................................................................................................................... 46 14. Valoração das Cotas .................................................................................................................................. 51 15. Pagamento de remuneração, amortização e resgate de Cotas ............................................ 52 16. Ordem de aloc…",298629_regulamento_regulamento_298629_2022-05-05.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,1ª série,evento de cota,"R$ 10.530.000,00",,"dinadas, considerando o Valor Unitário de Emissão, aplicável na 1ª Data de Integralização de Cotas: R$ 10.530.000,00 (dez milhões quinhentos e trinta mil de reais). Quantidade total de Cotas Subordinadas: 10.530 (dez mil quinhentas e trinta). Forma de integralização: à vista. Prazo de distribuição: N.A. Resgate: Após o resgate integral das Cotas Seniores, conforme disposto no Regulamento. Os termos utilizados neste…",300876_regulamento_regulamento_300876_2022-05-10.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,,evento de cota,,,"stas; (g) atualizar o rol de encargos para contemplar aqueles expressamente previstos na RCVM 175; (h) reordenar os fatores de risco, de modo a: (a) contemplar fatores de risco adicionais associados às novas previsões normativas; e ( b) adaptar ao novo padrão dos Prestadores de Serviços Essenciais; (i) alterar o prazo para exercício de voto dos Cotistas no processo de consulta formal pel a Administradora, de acordo…",791584_regulamento_regulamento_791584_2024-11-28.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,,evento de cota,"R$1.000.000,00","......................................................... 14 6. Custodiante ...................................................................................................................... 14 7. Agente de Cobrança Extraordinária ................................................................................ 15 8. Remuneração da Administradora, da Gestora, do Custodiante e dos demais prestadores de serviço ...…","...................... 44 12. Cotas do Fundo ............................................................................................................... 50 13. Valoração das Cotas ........................................................................................................ 56 14. Pagamento de remuneração, amortização e resgate de Cotas ......................................... 57 15. Ordem de alocação…",791590_regulamento_regulamento_791590_2024-11-29.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,2ª série,evento de cota,"R$1.000,00","Prazo de distribuição: até 180 (cento e oitenta) dias contados da data de divulgação do anúncio de início de distribuição da Oferta. Data de Resgate: Data de Pagamento correspondente ao 36º mês a contar da 1ª Data de Integralização Sobretaxa Sênior: 0,65% (sessenta e cinco centésimos por cento) ao ano. Meta de Remuneração: as Cotas Seniores da 2ª Série serão valoradas diariamente, a partir do Dia Útil seguinte à 1ª…","(a) a alteração da definição de “Data de Pagamento” do Regulamento, conforme Anexo III, que passará a vigorar, a partir da presente data, com a seguinte redação: “Data de Pagamento” significa o 15º (décimo quinto) dia de cada mês a contar do mês subsequente ao 1º Mês Completo de Alocação, inclusive, sendo que após a amortização integral das Cotas Seniores da 1 ª (primeira) Série, passará ser o 6º (sexto) dia de cada…",883974_assembleia_assembleia_883974_2025-04-22.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,,evento de cota,"R$1.000.000,00","......................................................... 14 6. Custodiante ...................................................................................................................... 14 7. Agente de Cobrança Extraordinária ................................................................................ 15 8. Remuneração da Administradora, da Gestora, do Custodiante e dos demais prestadores de serviço ...…","...................... 44 12. Cotas do Fundo ............................................................................................................... 50 13. Valoração das Cotas ........................................................................................................ 56 14. Pagamento de remuneração, amortização e resgate de Cotas ......................................... 57 15. Ordem de alocação…",883977_regulamento_regulamento_883977_2025-04-22.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,COTAS SENIORES DA,evento de cota,"R$ 1.000,00",,,884465_evento_evento_884465_2025-04-23.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,2ª Série,emissão,"R$ 1.000,00",,,887547_emissao_emissao_887547_2025-04-29.pdf
SUMUP SOLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILI,45.598.747/0001-21,,2ª Série,emissão,"R$1.000,00",,,903840_emissao_emissao_903840_2025-05-14.pdf
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,,,evento de cota,,"tribuição de Cotas Seniores e Cotas Subordinadas Mezanino. “Cotas” significam as Cotas Seniores, Cotas Subordinadas Mezanino e as Cotas Subordinadas Juniores quando referidas em conjunto. “Cotas Seniores” significam as cotas sênior do Fundo, que não estão subordinadas a nenhuma outra classe de Cotas para fins de remuneração, amortização e resgate, bem como para a distribuição de rendimentos. “Cotas Subordinadas Meza…","é atribuído no Artigo 3.2 deste Regulamento. “Ambiente de Interoperabilidade” significa a base de controle e mecanismos de trocas de informações padronizadas que viabilizam a interoperabilidade entre as Entidades Registradoras, na forma prevista na Convenção entre Entidades Registradoras, conforme aplicável. “Amortização de Principal” significa, com relação a cada Data de Amortização, a amortização de parcela do val…",467929_regulamento_regulamento_467929_2023-05-05.pdf
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,,,evento de cota,,,"co 07, 2° andar, CEP 22.640-102, neste ato representada na f orma de seu es tatuto social, na qualidade de instituição administradora (“ Administradora”) do SELLER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS (“Fundo”), inscrito no CNPJ/MF sob o nº 50.473.039/0001-02, constituído sob a forma de condomínio fechado, com prazo de duração indeterminado, considerando que o Fundo, desde a sua constituição, não foi operac…",467930_regulamento_regulamento_467930_2023-05-05.pdf
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,,1ª Série,evento de cota,"R$ 25.000.000,00","e seus respectivos subitens, observado que, para fins de apuração da Taxa de Administração referente aos meses subsequentes, deverão ser observadas as condições constantes do Regulamento. Dessa forma, a majoração extraordinária não terá reflexos nos documentos do Fundo, tratando - se de um aumento esporádico. (a) a remuneração dos coordenadores pela prestação de serviços de estruturação, coordenação e distribuição d…",,468755_assembleia_assembleia_468755_2023-05-22.pdf
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,,,evento de cota,,"stribuição de Cotas Seniores e Cotas Subordinadas Mezanino. “Cotas” significam as Cotas Seniores, Cotas Subordinadas Mezanino e as Cotas Subordinadas Juniores quando referidas em conjunto. “Cotas Seniores” significam as cotas sênior do Fundo, que não estão subordinadas a nenhuma outra classe de Cotas para fins de remuneração, amortização e resgate, bem como para a distribuição de rendimentos. 12 “Cotas Subordinadas…","e é atribuído no Artigo 3.2 deste Regulamento. “Ambiente de Interoperabilidade” significa a base de controle e mecanismos de trocas de informações padronizadas que viabilizam a interoperabilidade entre as Entidades Registradoras, na forma prevista na Convenção entre Entidades Registradoras, conforme aplicável. “Amortização de Principal” significa, com relação a cada Data de Amortização, a amortização de parcela do v…",468756_regulamento_regulamento_468756_2023-05-22.pdf
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,,1ª SÉRIE,emissão,"R$1.500.000.000,00",,,468767_emissao_emissao_468767_2023-05-24.pdf
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,,,evento de cota,,"stribuição de Cotas Seniores e Cotas Subordinadas Mezanino. “Cotas” significam as Cotas Seniores, Cotas Subordinadas Mezanino e as Cotas Subordinadas Juniores quando referidas em conjunto. “Cotas Seniores” significam as cotas sênior do Fundo, que não estão subordinadas a nenhuma outra classe de Cotas para fins de remuneração, amortização e resgate, bem como para a distribuição de rendimentos. 12 “Cotas Subordinadas…","e é atribuído no Artigo 3.2 deste Regulamento. “Ambiente de Interoperabilidade” significa a base de controle e mecanismos de trocas de informações padronizadas que viabilizam a interoperabilidade entre as Entidades Registradoras, na forma prevista na Convenção entre Entidades Registradoras, conforme aplicável. “Amortização de Principal” significa, com relação a cada Data de Amortização, a amortização de parcela do v…",471085_regulamento_regulamento_471085_2023-05-29.pdf
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,,1ª SÉRIE,emissão,"R$ 1.000,00",,,471622_emissao_emissao_471622_2023-05-30.pdf
